InChI,Cdk.LargestPiSystem.nAtomP,Cdk.BondCount.nB,Cdk.LargestChain.nAtomLC,Cdk.AromaticAtomsCount.naAromAtom,Cdk.AromaticBondsCount.nAromBond,Cdk.ALOGP.ALogP,Cdk.RotatableBondsCount.nRotB,Cdk.MannholdLogP.MLogP,Cdk.XLogP.XLogP,Cdk.RuleOfFive.LipinskiFailures,Cdk.ALOGP.ALogp2,Cdk.ALOGP.AMR,Cdk.LongestAliphaticChain.nAtomLAC,Cdk.HBondDonorCount.nHBDon,Cdk.AtomCount.nAtom
"InChI=1S/C13H14Cl2O3/c1-12(2,11(16)17)18-9-5-3-8(4-6-9)10-7-13(10,14)15/h3-6,10H,7H2,1-2H3,(H,16,17)",7.0,19.0,7.0,6.0,6.0,1.9980999999999982,4.0,2.34,2.2580000000000005,0.0,3.9924036099999927,73.4294,3.0,1.0,32.0
"InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2",7.0,16.0,0.0,12.0,12.0,0.4784000000000006,2.0,2.6699999999999995,0.9240000000000006,0.0,0.22886656000000058,71.172,0.0,2.0,29.0
"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",13.0,23.0,7.0,6.0,6.0,0.43529999999999947,8.0,1.7899999999999996,4.226000000000001,0.0,0.18948608999999952,69.86800000000001,3.0,0.0,39.0
"InChI=1S/C13H17N3O4S/c1-10-12(14(2)9-21(18,19)20)13(17)16(15(10)3)11-7-5-4-6-8-11/h4-8H,9H2,1-3H3,(H,18,19,20)",13.0,22.0,7.0,6.0,6.0,0.030500000000000582,4.0,2.01,-0.28500000000000003,0.0,0.0009302500000000355,84.7742,0.0,1.0,38.0
"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)",7.0,19.0,7.0,6.0,6.0,1.2248000000000012,8.0,2.2299999999999995,-0.5659999999999996,0.0,1.500135040000003,81.671,3.0,2.0,37.0
"InChI=1S/C13H19NO4S/c1-3-9-14(10-4-2)19(17,18)12-7-5-11(6-8-12)13(15)16/h5-8H,3-4,9-10H2,1-2H3,(H,15,16)",13.0,19.0,10.0,6.0,6.0,-0.8654999999999984,7.0,2.2299999999999995,0.9539999999999998,0.0,0.7490902499999972,74.4693,3.0,1.0,38.0
"InChI=1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",6.0,19.0,4.0,12.0,12.0,4.318300000000001,3.0,2.56,3.4030000000000005,0.0,18.647714890000007,87.85860000000001,2.0,0.0,28.0
"InChI=1S/C14H13N3O3/c1-20-13-8-10(2-3-12(13)18)9-16-17-14(19)11-4-6-15-7-5-11/h2-9,16H,1H3,(H,17,19)",19.0,21.0,5.0,6.0,6.0,-1.7145000000000001,5.0,2.34,0.10199999999999987,0.0,2.9395102500000005,77.79950000000001,0.0,2.0,33.0
"InChI=1S/C14H14ClN3O2S/c1-8-4-3-5-10(9(8)2)16-12-6-11(15)17-14(18-12)21-7-13(19)20/h3-6H,7H2,1-2H3,(H,19,20)(H,16,17,18)",13.0,22.0,5.0,6.0,6.0,2.9308999999999985,4.0,2.23,2.0470000000000006,0.0,8.590174809999992,87.74119999999999,2.0,2.0,35.0
"InChI=1S/C14H14N2/c1-2-16-13-6-4-3-5-11(13)12-9-10(15)7-8-14(12)16/h3-9H,2,15H2,1H3",14.0,18.0,2.0,13.0,15.0,0.6911999999999997,1.0,2.78,2.051,0.0,0.4777574399999996,74.56509999999999,2.0,1.0,30.0
"InChI=1S/C14H16N2/c1-9-7-11(3-5-13(9)15)12-4-6-14(16)10(2)8-12/h3-8H,15-16H2,1-2H3",14.0,17.0,0.0,12.0,12.0,0.9150000000000005,1.0,2.78,1.1860000000000004,0.0,0.8372250000000009,75.135,0.0,2.0,32.0
